systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
777726231607,783551257000,1422575160129338368,783551257000,129347000,25,2,2,23,45,42,130,25,2,2,23,45,42,0,6,3,32.865938,-117.254198,-24.648000,-2455715.135110,-4767207.433445,3441466.393077,11.994866,13.158150,23.500641,-57.218468,-0.462178,-2.450413,-0.020702,0.006698,-0.478796,0.877657,133,32.865935,-117.254202,-29.529226,-2455713.682464,-4767203.856936,3441463.619630,3.709804
777750600070,783576257000,1422575160154338304,783576257000,154347000,25,2,2,23,45,42,155,25,2,2,23,45,42,0,6,3,32.865938,-117.254198,-24.648000,-2455715.135110,-4767207.433445,3441466.393077,11.994866,13.158150,23.500641,-57.221786,-0.457180,-2.454027,-0.020709,0.006752,-0.478820,0.877643,133,32.865935,-117.254202,-29.556803,-2455713.675597,-4767203.835755,3441463.602825,3.711361
777775904977,783601257000,1422575160179338496,783601257000,179347000,25,2,2,23,45,42,180,25,2,2,23,45,42,0,6,3,32.865938,-117.254198,-24.648000,-2455715.135110,-4767207.433445,3441466.393077,11.994866,13.158150,23.500641,-57.224758,-0.449074,-2.461775,-0.020734,0.006847,-0.478841,0.877630,32901,32.865935,-117.254202,-29.584410,-2455713.668794,-4767203.814546,3441463.585957,3.712932
777800284736,783626259000,1422575160204340480,783626259000,204349000,25,2,2,23,45,42,205,25,2,2,23,45,42,0,6,3,32.865938,-117.254198,-24.648000,-2455715.135110,-4767207.433445,3441466.393077,11.994866,13.158150,23.500641,-57.229416,-0.439053,-2.471381,-0.020766,0.006965,-0.478875,0.877610,32901,32.865935,-117.254202,-29.612075,-2455713.661966,-4767203.793292,3441463.569062,3.714515
777826668422,783651257000,1422575160229338368,783651257000,229347000,25,2,2,23,45,42,230,25,2,2,23,45,42,0,6,3,32.865938,-117.254198,-24.648000,-2455715.135110,-4767207.433445,3441466.393077,11.994866,13.158150,23.500641,-57.232353,-0.434419,-2.476767,-0.020787,0.007024,-0.478896,0.877597,133,32.865935,-117.254202,-29.639798,-2455713.655139,-4767203.771992,3441463.552123,3.716113
777849899866,783676257000,1422575160254338304,783676257000,254347000,25,2,2,23,45,42,255,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.234207,-0.436310,-2.477503,-0.020801,0.007013,-0.478911,0.877589,133,32.865935,-117.254202,-29.503942,-2455713.714165,-4767203.889700,3441463.598671,3.692571
777876414236,783701257000,1422575160279338240,783701257000,279347000,25,2,2,23,45,42,280,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.236080,-0.433824,-2.481361,-0.020820,0.007048,-0.478925,0.877581,133,32.865935,-117.254202,-29.531137,-2455713.707667,-4767203.868957,3441463.581705,3.694431
777899638977,783726256000,1422575160304337152,783726256000,304346000,25,2,2,23,45,42,305,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.237400,-0.431149,-2.484639,-0.020834,0.007083,-0.478934,0.877575,32901,32.865935,-117.254202,-29.558589,-2455713.701031,-4767203.848007,3441463.564649,3.695995
777926122644,783751257000,1422575160329338368,783751257000,329347000,25,2,2,23,45,42,330,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.239246,-0.428690,-2.486531,-0.020838,0.007110,-0.478948,0.877567,32901,32.865935,-117.254202,-29.586088,-2455713.694358,-4767203.827027,3441463.547573,3.697571
777950820514,783776257000,1422575160354338304,783776257000,354347000,25,2,2,23,45,42,355,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.240860,-0.427662,-2.488512,-0.020849,0.007126,-0.478960,0.877560,133,32.865935,-117.254202,-29.613587,-2455713.687709,-4767203.806000,3441463.530545,3.699161
777976498810,783801257000,1422575160379338240,783801257000,379347000,25,2,2,23,45,42,380,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.242393,-0.425665,-2.490228,-0.020853,0.007149,-0.478971,0.877554,133,32.865935,-117.254202,-29.641248,-2455713.681051,-4767203.784843,3441463.513404,3.700763
778001309421,783826257000,1422575160404338432,783826257000,404347000,25,2,2,23,45,42,405,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.243980,-0.424378,-2.491644,-0.020859,0.007165,-0.478983,0.877547,32901,32.865935,-117.254202,-29.668970,-2455713.674347,-4767203.763706,3441463.496155,3.702380
778025584681,783851257000,1422575160429338368,783851257000,429347000,25,2,2,23,45,42,430,25,2,2,23,45,42,200,6,3,32.865937,-117.254198,-24.643000,-2455715.155110,-4767207.433445,3441466.393077,12.065761,13.190829,23.537560,-57.245228,-0.428085,-2.490469,-0.020865,0.007132,-0.478993,0.877542,32901,32.865935,-117.254202,-29.696716,-2455713.667662,-4767203.742485,3441463.478964,3.704009
778050906347,783876257000,1422575160454338304,783876257000,454347000,25,2,2,23,45,42,455,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.246635,-0.428090,-2.490168,-0.020863,0.007131,-0.479004,0.877536,133,32.865935,-117.254202,-29.554762,-2455713.731984,-4767203.855710,3441463.539163,3.680573
778076257588,783901257000,1422575160479338496,783901257000,479347000,25,2,2,23,45,42,480,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.248573,-0.420788,-2.495914,-0.020876,0.007211,-0.479017,0.877528,133,32.865935,-117.254202,-29.582244,-2455713.726631,-4767203.834222,3441463.521882,3.682468
778100519792,783926257000,1422575160504338176,783926257000,504347000,25,2,2,23,45,42,505,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.249813,-0.415723,-2.499688,-0.020884,0.007266,-0.479026,0.877522,32901,32.865935,-117.254202,-29.609681,-2455713.720263,-4767203.813271,3441463.504664,3.684059
778125918699,783951257000,1422575160529338368,783951257000,529347000,25,2,2,23,45,42,530,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.250595,-0.414056,-2.500982,-0.020887,0.007284,-0.479032,0.877519,32901,32.865934,-117.254202,-29.637197,-2455713.713790,-4767203.792296,3441463.487408,3.685665
778150401995,783976257000,1422575160554338560,783976257000,554347000,25,2,2,23,45,42,555,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.252037,-0.412609,-2.502196,-0.020890,0.007301,-0.479042,0.877513,133,32.865934,-117.254202,-29.664764,-2455713.707351,-4767203.771233,3441463.470155,3.687284
778176162588,784001257000,1422575160579338240,784001257000,579347000,25,2,2,23,45,42,580,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.253281,-0.406738,-2.507116,-0.020903,0.007366,-0.479051,0.877507,133,32.865934,-117.254203,-29.692382,-2455713.700920,-4767203.750127,3441463.452862,3.688917
778200684384,784026257000,1422575160604338432,784026257000,604347000,25,2,2,23,45,42,605,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.254829,-0.403087,-2.510684,-0.020915,0.007410,-0.479062,0.877501,32901,32.865934,-117.254203,-29.720174,-2455713.695665,-4767203.728217,3441463.435521,3.690560
778225981644,784051257000,1422575160629338368,784051257000,629347000,25,2,2,23,45,42,630,25,2,2,23,45,42,400,6,3,32.865937,-117.254199,-24.632000,-2455715.175110,-4767207.433445,3441466.403077,12.137686,13.224672,23.575075,-57.255630,-0.404122,-2.508945,-0.020906,0.007394,-0.479068,0.877498,32901,32.865934,-117.254203,-29.747967,-2455713.689242,-4767203.706959,3441463.418108,3.692219
