systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,imuStatus,temperature,pressure,magX,magY,magZ,accelX,accelY,accelZ,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
300406233133,306226256000,1420932772385405440,306226256000,385416000,25,1,14,23,32,38,386,16,29.100002,102.129005,0.699337,1.786353,3.805276,-2.639345,-0.775702,-10.110201,25,1,14,23,32,34,200,7,3,32.865579,-117.254147,-17.719000,-2455723.385110,-4767233.973444,3441436.803078,4.969081,4.617523,9.963579,43.118694,-10.203294,3.599236,-0.061751,0.071167,-0.368426,-0.924870,32901,32.865580,-117.254147,-20.703624,-2455722.311698,-4767231.810387,3441435.303610,1.807113
300432593948,306251257000,1420932772410406656,306251257000,410417000,25,1,14,23,32,38,411,16,29.090000,102.124008,0.695175,1.787503,3.805735,-2.448349,-0.622364,-10.055049,25,1,14,23,32,34,200,7,3,32.865579,-117.254147,-17.719000,-2455723.385110,-4767233.973444,3441436.803078,4.969081,4.617523,9.963579,42.692108,-9.991518,3.878443,-0.063078,0.068791,-0.365154,-0.926257,32901,32.865580,-117.254147,-20.725777,-2455722.312789,-4767231.799692,3441435.276730,1.808241
300456237096,306276257000,1420932772435406592,306276257000,435417000,25,1,14,23,32,38,436,0,29.090000,102.124008,0.692625,1.786739,3.804799,-2.016802,-0.496278,-9.781713,25,1,14,23,32,34,200,7,3,32.865579,-117.254147,-17.719000,-2455723.385110,-4767233.973444,3441436.803078,4.969081,4.617523,9.963579,42.212166,-9.535559,4.160724,-0.063659,0.064464,-0.361428,-0.927988,133,32.865580,-117.254147,-20.747625,-2455722.313675,-4767231.789235,3441435.250230,1.809382
300482535133,306301257000,1420932772460406528,306301257000,460417000,25,1,14,23,32,38,461,16,29.100002,102.129005,0.688683,1.785713,3.803631,-1.371419,-0.449211,-9.578518,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,41.682442,-8.918978,4.438540,-0.063723,0.058877,-0.357250,-0.929971,133,32.865580,-117.254147,-20.663670,-2455722.355581,-4767231.848412,3441435.293809,1.790773
300507184429,306326256000,1420932772485405696,306326256000,485416000,25,1,14,23,32,38,486,16,29.090000,102.137001,0.683599,1.785377,3.800550,-1.016867,-0.483805,-9.385170,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,41.096760,-8.272900,4.735525,-0.063881,0.053022,-0.352575,-0.932094,32901,32.865579,-117.254147,-20.685140,-2455722.356659,-4767231.837921,3441435.267917,1.791848
300532630244,306351256000,1420932772510405632,306351256000,510416000,25,1,14,23,32,38,511,16,29.105000,102.129005,0.678266,1.784090,3.799150,-0.890280,-0.675163,-9.307739,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,40.460682,-7.666404,5.060521,-0.064426,0.047435,-0.347454,-0.934278,32901,32.865579,-117.254147,-20.706831,-2455722.357906,-4767231.827179,3441435.241842,1.792937
300556429670,306376257000,1420932772535406592,306376257000,535417000,25,1,14,23,32,38,536,0,29.090000,102.137001,0.674553,1.781850,3.796338,-0.838131,-0.677177,-9.289400,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,39.789078,-7.114954,5.405552,-0.065347,0.042266,-0.342008,-0.936469,133,32.865579,-117.254147,-20.728806,-2455722.359273,-4767231.816184,3441435.215508,1.794040
300582132318,306401257000,1420932772560406784,306401257000,560417000,25,1,14,23,32,38,561,16,29.090000,102.124008,0.671332,1.782747,3.793710,-0.953732,-0.791690,-9.198081,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,39.080704,-6.597373,5.788347,-0.066726,0.037298,-0.336229,-0.938673,133,32.865579,-117.254148,-20.751075,-2455722.360728,-4767231.804915,3441435.188946,1.795159
300607826244,306426257000,1420932772585406464,306426257000,585417000,25,1,14,23,32,38,586,16,29.100002,102.129005,0.666463,1.781218,3.791600,-0.853572,-0.946867,-9.236982,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,38.348053,-6.100615,6.194391,-0.068412,0.032467,-0.330210,-0.940865,32901,32.865579,-117.254148,-20.773651,-2455722.362154,-4767231.793378,3441435.162208,1.796292
300632136410,306451257000,1420932772610406656,306451257000,610417000,25,1,14,23,32,38,611,16,29.090000,102.137001,0.660191,1.779694,3.792106,-0.805032,-0.896168,-9.015940,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,37.583443,-5.646096,6.608790,-0.070341,0.028004,-0.323891,-0.943060,32901,32.865579,-117.254148,-20.796545,-2455722.363538,-4767231.781608,3441435.135234,1.797439
300656845966,306476257000,1420932772635406848,306476257000,635417000,25,1,14,23,32,38,636,0,29.089996,102.137001,0.657426,1.778412,3.787138,-0.613829,-0.816271,-8.982201,25,1,14,23,32,34,400,7,3,32.865578,-117.254147,-17.678000,-2455723.485110,-4767234.033444,3441436.723078,4.966423,4.673760,9.970161,36.794193,-5.225380,7.006855,-0.072284,0.023908,-0.317327,-0.945255,133,32.865578,-117.254148,-20.819874,-2455722.364844,-4767231.769481,3441435.108007,1.798601
300682411447,306501257000,1420932772660406528,306501257000,660417000,25,1,14,23,32,38,661,16,29.090000,102.124008,0.654885,1.778121,3.785244,-0.453484,-0.748617,-8.856211,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,35.991394,-4.830620,7.385364,-0.074192,0.020118,-0.310612,-0.947423,133,32.865579,-117.254148,-20.726587,-2455722.409716,-4767231.827543,3441435.168214,1.780402
300707004133,306526257000,1420932772685406720,306526257000,685417000,25,1,14,23,32,38,686,16,29.099998,102.124008,0.651866,1.776628,3.784083,-0.428706,-0.739810,-8.776917,25,1,14,23,32,34,600,7,3,32.865577,-117.254148,-17.637000,-2455723.585110,-4767234.093444,3441436.653078,4.962441,4.731215,9.976528,35.191830,-4.441667,7.758712,-0.076130,0.016416,-0.303882,-0.949521,133,32.865578,-117.254148,-20.750550,-2455722.411243,-4767231.814448,3441435.140993,1.781509
