systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,imuStatus,temperature,pressure,magX,magY,magZ,accelX,accelY,accelZ,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
174573481818,180351257000,1421179521222201088,180351257000,222210000,25,1,17,20,5,7,223,16,26.099998,102.327003,0.795032,1.466275,3.806415,-1.114634,-2.651597,-9.939273,25,1,17,20,5,3,0,9,4,32.865384,-117.254187,-14.568000,-2455733.335110,-4767245.083444,3441420.273078,6.210784,6.272787,11.134053,-69.871086,1.976374,9.760621,-0.079574,0.034624,0.571696,-0.815863,133,32.865380,-117.254183,-15.684545,-2455732.784459,-4767244.689868,3441419.407522,1.540206
174597648485,180376257000,1421179521247201024,180376257000,247210000,25,1,17,20,5,7,248,0,26.080000,102.323006,0.800795,1.463956,3.807166,-0.322804,-2.624480,-10.051720,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-71.352539,2.209608,9.565655,-0.078924,0.033010,0.582372,-0.808408,133,32.865380,-117.254183,-15.686949,-2455732.780586,-4767244.703723,3441419.386774,1.541580
174621815596,180401257000,1421179521272200960,180401257000,272210000,25,1,17,20,5,7,273,16,26.080000,102.323006,0.801712,1.461789,3.805301,0.700363,-2.575198,-10.413181,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-72.701866,2.826615,9.250398,-0.079497,0.027982,0.592221,-0.801356,32901,32.865380,-117.254183,-15.648211,-2455732.790459,-4767244.748112,3441419.390080,1.534510
174647032096,180426257000,1421179521297200896,180426257000,297210000,25,1,17,20,5,7,298,16,26.080000,102.323006,0.803084,1.459396,3.804393,1.272087,-2.409303,-10.284227,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-73.962280,3.299967,8.938454,-0.079490,0.023924,0.601267,-0.794725,32901,32.865379,-117.254183,-15.649574,-2455732.786845,-4767244.762077,3441419.370915,1.536206
174672216763,180451257000,1421179521322201088,180451257000,322210000,25,1,17,20,5,7,323,16,26.099998,102.327003,0.806797,1.459435,3.802965,1.061206,-2.186918,-9.619075,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-75.128410,3.458021,8.699646,-0.078435,0.022371,0.609431,-0.788632,133,32.865379,-117.254183,-15.650549,-2455732.782917,-4767244.776010,3441419.352730,1.537913
174697441244,180476257000,1421179521347201024,180476257000,347210000,25,1,17,20,5,7,348,0,26.099998,102.327003,0.810491,1.458284,3.802983,0.515881,-1.929231,-8.864537,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-76.142807,3.519550,8.510152,-0.077268,0.021623,0.616447,-0.783298,133,32.865379,-117.254183,-15.651469,-2455732.778533,-4767244.790251,3441419.334549,1.539633
174721744263,180501257000,1421179521372200960,180501257000,372210000,25,1,17,20,5,7,373,16,26.090000,102.323006,0.812577,1.457579,3.801569,0.591135,-1.852210,-8.546093,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-76.984039,3.780988,8.330567,-0.077298,0.019431,0.622299,-0.778711,32901,32.865379,-117.254183,-15.652855,-2455732.773917,-4767244.803947,3441419.316421,1.541364
174747080818,180526257000,1421179521397201152,180526257000,397210000,25,1,17,20,5,7,398,16,26.099998,102.327003,0.810260,1.457067,3.801343,0.919692,-1.805822,-8.455797,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-77.702133,4.293395,8.111263,-0.078479,0.015236,0.627351,-0.774622,32901,32.865379,-117.254183,-15.654900,-2455732.768958,-4767244.816982,3441419.298230,1.543106
174772668485,180551257000,1421179521422200832,180551257000,422210000,25,1,17,20,5,7,423,16,26.099998,102.315002,0.810235,1.455641,3.803507,1.410754,-1.671951,-8.312231,25,1,17,20,5,3,200,9,4,32.865382,-117.254186,-14.522000,-2455733.305110,-4767245.273444,3441420.113078,6.211930,6.315558,11.166988,-78.356140,4.841124,7.848781,-0.079625,0.010535,0.631930,-0.770853,133,32.865378,-117.254183,-15.657648,-2455732.763512,-4767244.829399,3441419.279943,1.544860
174797015892,180576257000,1421179521447201024,180576257000,447210000,25,1,17,20,5,7,448,0,26.085001,102.315002,0.810693,1.453458,3.800454,1.563221,-1.666468,-7.923860,25,1,17,20,5,3,400,9,4,32.865380,-117.254184,-14.513000,-2455733.265110,-4767245.413444,3441419.963078,6.206876,6.369588,11.175346,-79.004616,5.252861,7.565504,-0.079937,0.006642,0.636389,-0.767186,133,32.865378,-117.254182,-15.661188,-2455732.757259,-4767244.841265,3441419.261523,1.546272
