systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,imuStatus,temperature,pressure,magX,magY,magZ,accelX,accelY,accelZ,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
149121335298,154926257000,1421434420677879552,154926257000,677883000,25,1,20,18,53,26,678,16,24.489998,102.177002,0.852367,2.120067,3.720895,0.466010,-9.877217,0.620634,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.663044,1.916917,93.446648,0.624516,-0.374195,-0.371857,0.575917,41093,32.866549,-117.254049,-29.437832,-2455684.095533,-4767177.626265,3441520.850412,5.087405
149147075872,154951257000,1421434420702879744,154951257000,702883000,25,1,20,18,53,26,703,16,24.500000,102.181007,0.853088,2.121745,3.718965,0.399531,-9.859674,0.638911,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.705688,1.929133,93.441902,0.624391,-0.374350,-0.372152,0.575762,14469,32.866549,-117.254049,-29.438823,-2455684.096250,-4767177.625616,3441520.848972,5.091499
149171528187,154976257000,1421434420727879680,154976257000,727883000,25,1,20,18,53,26,728,0,24.500000,102.169006,0.852149,2.121996,3.721812,0.378049,-9.776359,0.583879,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.738735,1.938098,93.424187,0.624221,-0.374426,-0.372423,0.575720,14469,32.866549,-117.254049,-29.439859,-2455684.096908,-4767177.624982,3441520.847467,5.095607
149196247187,155001257000,1421434420752879616,155001257000,752883000,25,1,20,18,53,26,753,16,24.489998,102.177002,0.853758,2.120327,3.720890,0.313405,-9.707663,0.561191,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.767586,1.950271,93.405731,0.624071,-0.374461,-0.372694,0.575685,41093,32.866549,-117.254049,-29.440812,-2455684.097662,-4767177.624404,3441520.845972,5.099728
149222028076,155026257000,1421434420777879808,155026257000,777883000,25,1,20,18,53,26,778,16,24.500000,102.181007,0.853519,2.121555,3.724433,0.289118,-9.691699,0.551081,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.795597,1.960755,93.398384,0.623975,-0.374535,-0.372914,0.575598,41093,32.866549,-117.254049,-29.441818,-2455684.098467,-4767177.623794,3441520.844387,5.103862
149246332168,155051257000,1421434420802879488,155051257000,802883000,25,1,20,18,53,26,803,16,24.494999,102.181007,0.854211,2.118888,3.720441,0.323693,-9.707568,0.499386,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.818428,1.970384,93.407402,0.623975,-0.374640,-0.373051,0.575441,133,32.866549,-117.254049,-29.442922,-2455684.099339,-4767177.623102,3441520.842687,5.108010
149271613427,155076257000,1421434420827879680,155076257000,827883000,25,1,20,18,53,26,828,0,24.500000,102.181007,0.852612,2.121272,3.720637,0.342594,-9.763581,0.578305,25,1,20,18,53,22,600,7,3,32.866479,-117.254057,-22.216000,-2455689.435111,-4767186.333445,3441518.133076,40.273464,16.235056,49.516537,-63.837746,1.977618,93.427773,0.624037,-0.374774,-0.373120,0.575243,133,32.866549,-117.254049,-29.444044,-2455684.100234,-4767177.622464,3441520.840862,5.112171
149296011038,155101257000,1421434420852879872,155101257000,852883000,25,1,20,18,53,26,853,16,24.500000,102.181007,0.852615,2.121514,3.720633,0.292970,-9.885156,0.606418,25,1,20,18,53,22,800,7,3,32.866479,-117.254057,-22.202000,-2455689.455111,-4767186.323445,3441518.153076,40.188721,16.113956,49.462608,-63.858154,1.979472,93.449257,0.624084,-0.374946,-0.373162,0.575053,32901,32.866550,-117.254049,-29.295759,-2455684.111912,-4767177.716051,3441520.977061,5.087570
149321434316,155126257000,1421434420877879552,155126257000,877883000,25,1,20,18,53,26,878,16,24.500000,102.181007,0.852142,2.120548,3.720889,0.262935,-9.964598,0.663458,25,1,20,18,53,22,800,7,3,32.866479,-117.254057,-22.202000,-2455689.455111,-4767186.323445,3441518.153076,40.188721,16.113956,49.462608,-63.873379,1.977895,93.461067,0.624088,-0.375075,-0.373191,0.574944,32901,32.866550,-117.254049,-29.296464,-2455684.112548,-4767177.715578,3441520.975961,5.091556
149346728779,155151257000,1421434420902879744,155151257000,902883000,25,1,20,18,53,26,903,16,24.484997,102.177002,0.852376,2.120061,3.719709,0.289824,-9.769301,0.598232,25,1,20,18,53,22,800,7,3,32.866479,-117.254057,-22.202000,-2455689.455111,-4767186.323445,3441518.153076,40.188721,16.113956,49.462608,-63.881042,1.973276,93.459808,0.624043,-0.375136,-0.373209,0.574942,133,32.866550,-117.254049,-29.297200,-2455684.113211,-4767177.715144,3441520.974733,5.095555
