systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,imuStatus,temperature,pressure,magX,magY,magZ,accelX,accelY,accelZ,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
3435028007673,3440851257000,1422735110950129152,3440851257000,950138000,25,2,4,20,11,32,950,16,23.330000,101.741005,0.156228,0.551098,-0.063693,6.440435,0.037059,7.363208,25,2,4,20,11,32,799,9,3,32.866368,-117.254146,-36.941000,-2455694.235111,-4767177.443445,3441499.833076,13.826033,36.869324,43.474327,74.005836,41.220333,-179.856369,0.747757,0.562982,-0.281821,0.210921,133,32.866362,-117.254135,-37.075573,-2455693.480932,-4767178.212969,3441499.316991,4.653295
3435051313247,3440876257000,1422735110975129088,3440876257000,975138000,25,2,4,20,11,32,975,0,23.330002,101.729004,0.156446,0.550390,-0.062493,6.461814,0.017212,7.352889,25,2,4,20,11,32,799,9,3,32.866368,-117.254146,-36.941000,-2455694.235111,-4767177.443445,3441499.833076,13.826033,36.869324,43.474327,74.006409,41.220169,-179.855453,0.747756,0.562984,-0.281823,0.210915,32901,32.866362,-117.254135,-37.074975,-2455693.478741,-4767178.215162,3441499.316628,4.657048
3435075562432,3440901257000,1422735111000129280,3440901257000,139000,25,2,4,20,11,33,0,16,23.320002,101.729004,0.156689,0.551108,-0.063218,6.445717,0.050384,7.355240,25,2,4,20,11,32,799,9,3,32.866368,-117.254146,-36.941000,-2455694.235111,-4767177.443445,3441499.833076,13.826033,36.869324,43.474327,74.006233,41.221508,-179.855392,0.747754,0.562980,-0.281833,0.210921,32901,32.866362,-117.254135,-37.074455,-2455693.476465,-4767178.217251,3441499.316326,4.660057
3435100861618,3440926257000,1422735111025128960,3440926257000,25139000,25,2,4,20,11,33,25,16,23.320002,101.716003,0.155081,0.551556,-0.064651,6.447669,0.012164,7.358886,25,2,4,20,11,32,799,9,3,32.866368,-117.254146,-36.941000,-2455694.235111,-4767177.443445,3441499.833076,13.826033,36.869324,43.474327,74.004593,41.221188,-179.856903,0.747760,0.562974,-0.281826,0.210925,133,32.866362,-117.254135,-37.073888,-2455693.474266,-4767178.219375,3441499.316006,4.664580
3435125104599,3440951256000,1422735111050130176,3440951256000,50138000,25,2,4,20,11,33,50,16,23.330000,101.729004,0.156007,0.551568,-0.064652,6.449902,0.006844,7.380575,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.004456,41.220306,-179.857590,0.747761,0.562976,-0.281817,0.210925,133,32.866362,-117.254135,-37.073458,-2455693.471934,-4767178.221437,3441499.315615,4.667602
3435150395525,3440976257000,1422735111075131136,3440976257000,75139000,25,2,4,20,11,33,75,0,23.324999,101.712006,0.157171,0.551817,-0.065607,6.459429,0.027825,7.376661,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.004051,41.221397,-179.857605,0.747761,0.562972,-0.281825,0.210930,32901,32.866363,-117.254135,-37.071025,-2455693.460730,-4767178.225235,3441499.322813,4.659389
3435175696044,3441001257000,1422735111100131072,3441001257000,100139000,25,2,4,20,11,33,100,16,23.330000,101.729004,0.155748,0.549656,-0.062955,6.472080,0.021768,7.334239,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.002678,41.220119,-179.858078,0.747770,0.562966,-0.281817,0.210923,32901,32.866362,-117.254135,-37.070547,-2455693.458407,-4767178.227306,3441499.322489,4.663140
3435200987988,3441026257000,1422735111125131008,3441026257000,125139000,25,2,4,20,11,33,125,16,23.320002,101.729004,0.156682,0.550387,-0.063205,6.462211,-0.001081,7.370075,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.001678,41.220810,-179.858475,0.747772,0.562960,-0.281821,0.210927,133,32.866362,-117.254135,-37.069951,-2455693.456170,-4767178.229472,3441499.322195,4.666899
3435225232506,3441051257000,1422735111150130944,3441051257000,150139000,25,2,4,20,11,33,150,16,23.314999,101.725006,0.156456,0.550133,-0.064626,6.448835,-0.004934,7.375871,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.001831,41.220001,-179.858902,0.747773,0.562963,-0.281814,0.210926,133,32.866362,-117.254135,-37.069385,-2455693.453773,-4767178.231689,3441499.321885,4.670666
3435250525173,3441076257000,1422735111175131136,3441076257000,175139000,25,2,4,20,11,33,175,0,23.330002,101.716003,0.157377,0.549909,-0.064147,6.463954,0.004033,7.349145,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,74.001640,41.218941,-179.859314,0.747775,0.562965,-0.281805,0.210923,32901,32.866362,-117.254135,-37.068776,-2455693.451545,-4767178.233837,3441499.321631,4.674441
3435275818192,3441101257000,1422735111200131072,3441101257000,200139000,25,2,4,20,11,33,200,16,23.330000,101.729004,0.155312,0.551317,-0.064885,6.451032,0.017738,7.337439,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,73.999687,41.218925,-179.860001,0.747784,0.562954,-0.281805,0.210923,32901,32.866362,-117.254135,-37.068230,-2455693.449220,-4767178.236011,3441499.321294,4.678224
3435300058636,3441126257000,1422735111225131008,3441126257000,225139000,25,2,4,20,11,33,225,16,23.309999,101.712006,0.154383,0.550821,-0.065113,6.449413,0.009263,7.366777,25,2,4,20,11,33,0,9,3,32.866368,-117.254146,-36.910000,-2455694.255111,-4767177.443445,3441499.863076,13.842433,36.933533,43.591892,73.999031,41.217316,-179.859879,0.747791,0.562952,-0.281796,0.210912,133,32.866362,-117.254135,-37.067622,-2455693.446991,-4767178.238215,3441499.320961,4.682015
3435325360118,3441151257000,1422735111250131200,3441151257000,250139000,25,2,4,20,11,33,250,16,23.325001,101.716003,0.156001,0.551334,-0.063935,6.453371,0.012232,7.348950,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.998360,41.216419,-179.859970,0.747796,0.562950,-0.281792,0.210907,133,32.866362,-117.254135,-37.067219,-2455693.444599,-4767178.240312,3441499.320513,4.685054
3435350671266,3441176257000,1422735111275130880,3441176257000,275139000,25,2,4,20,11,33,275,0,23.324999,101.712006,0.156452,0.550138,-0.063914,6.444524,-0.009070,7.365200,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.998528,41.215504,-179.859573,0.747799,0.562952,-0.281787,0.210900,32901,32.866363,-117.254135,-37.063555,-2455693.428676,-4767178.234122,3441499.347068,4.675938
3435375986525,3441201257000,1422735111300131072,3441201257000,300139000,25,2,4,20,11,33,300,16,23.309999,101.712006,0.157153,0.550382,-0.064631,6.468256,0.016965,7.363822,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.996719,41.214226,-179.860641,0.747809,0.562945,-0.281777,0.210896,32901,32.866363,-117.254135,-37.062957,-2455693.426320,-4767178.236289,3441499.346859,4.679705
3435400245284,3441226257000,1422735111325131264,3441226257000,325139000,25,2,4,20,11,33,325,16,23.330000,101.716003,0.156679,0.549905,-0.063434,6.476709,-0.001642,7.356278,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.995331,41.217522,-179.862778,0.747803,0.562935,-0.281790,0.210923,32901,32.866363,-117.254135,-37.062344,-2455693.423946,-4767178.238487,3441499.346647,4.683481
3435425557043,3441251257000,1422735111350130944,3441251257000,350139000,25,2,4,20,11,33,350,16,23.325001,101.716003,0.156215,0.549900,-0.063197,6.460901,0.032227,7.348694,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.993622,41.218174,-179.863220,0.747809,0.562924,-0.281796,0.210925,133,32.866363,-117.254135,-37.061742,-2455693.421590,-4767178.240684,3441499.346402,4.687265
3435450880932,3441276257000,1422735111375131136,3441276257000,375139000,25,2,4,20,11,33,375,0,23.315001,101.729004,0.156446,0.549417,-0.063901,6.462544,0.014625,7.374221,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.992516,41.219173,-179.862137,0.747814,0.562912,-0.281810,0.210920,133,32.866363,-117.254135,-37.061061,-2455693.419272,-4767178.242989,3441499.346129,4.691058
3435475144525,3441301257000,1422735111400131072,3441301257000,400139000,25,2,4,20,11,33,400,16,23.319998,101.725006,0.155294,0.550369,-0.063205,6.454212,0.039318,7.386473,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.992409,41.218239,-179.862183,0.747817,0.562913,-0.281803,0.210915,32901,32.866363,-117.254135,-37.060564,-2455693.416819,-4767178.245104,3441499.345874,4.694858
3435500455691,3441326257000,1422735111425131008,3441326257000,425139000,25,2,4,20,11,33,425,16,23.330000,101.716003,0.154378,0.551804,-0.062518,6.452450,0.018139,7.357162,25,2,4,20,11,33,199,9,3,32.866369,-117.254145,-36.977000,-2455694.125111,-4767177.433445,3441499.853076,13.854735,36.997845,43.708092,73.992645,41.218166,-179.863571,0.747814,0.562918,-0.281796,0.210925,32901,32.866363,-117.254135,-37.059963,-2455693.414454,-4767178.247313,3441499.345618,4.698667
3435526824488,3441351256000,1422735111450129920,3441351256000,450138000,25,2,4,20,11,33,450,16,23.314999,101.737007,0.155068,0.551089,-0.062980,6.465749,0.025682,7.363723,25,2,4,20,11,33,399,9,3,32.866369,-117.254146,-36.870000,-2455694.185111,-4767177.493445,3441499.923076,13.868933,37.078522,43.824390,73.993095,41.219650,-179.864120,0.747807,0.562920,-0.281802,0.210937,133,32.866362,-117.254134,-37.058210,-2455693.385386,-4767178.278870,3441499.326029,4.701720
3435550024228,3441376257000,1422735111475131136,3441376257000,475139000,25,2,4,20,11,33,475,0,23.309998,101.712006,0.156222,0.549403,-0.065326,6.450092,0.026938,7.358167,25,2,4,20,11,33,399,9,3,32.866369,-117.254146,-36.870000,-2455694.185111,-4767177.493445,3441499.923076,13.868933,37.078522,43.824390,73.992966,41.220669,-179.864182,0.747805,0.562917,-0.281808,0.210942,133,32.866362,-117.254134,-37.057446,-2455693.382940,-4767178.281376,3441499.325724,4.690519
3435575332228,3441401257000,1422735111500131072,3441401257000,500139000,25,2,4,20,11,33,500,16,23.330000,101.716003,0.156468,0.551577,-0.064415,6.462134,0.044690,7.341013,25,2,4,20,11,33,399,9,3,32.866369,-117.254146,-36.870000,-2455694.185111,-4767177.493445,3441499.923076,13.868933,37.078522,43.824390,73.992081,41.220314,-179.864685,0.747809,0.562913,-0.281805,0.210941,32901,32.866362,-117.254134,-37.056810,-2455693.380409,-4767178.283757,3441499.325414,4.694293
3435600638636,3441426257000,1422735111525131008,3441426257000,525139000,25,2,4,20,11,33,525,16,23.330000,101.716003,0.155298,0.550363,-0.063918,6.455229,0.008855,7.375067,25,2,4,20,11,33,399,9,3,32.866369,-117.254146,-36.870000,-2455694.185111,-4767177.493445,3441499.923076,13.868933,37.078522,43.824390,73.992676,41.220436,-179.862732,0.747809,0.562912,-0.281815,0.210931,32901,32.866362,-117.254134,-37.056219,-2455693.377924,-4767178.286079,3441499.325070,4.698076
